Region,State,Broadcaster,Sport,Event,Month,ViewershipCount,AvgWatchTime,Gender,AgeGroup,Likes,Dislikes,OnlineStreams,TVViewers,RevenueGenerated
West,Goa,Star Sports,Cricket,World Cup,Jul,171958,34.3,Female,45+,45732,3192,44888,127070,126221.98
West,Rajasthan,ESPN India,Hockey,Hockey India League,Sep,1049890,63.2,Male,35-44,45131,3019,493457,556433,1640042.48
North,Punjab,Sony Sports,Cricket,World Cup,Oct,379365,90.8,Female,25-34,3433,1284,183263,196102,362810.79
Central,Madhya Pradesh,Star Sports,Football,Santosh Trophy,Apr,1520485,17.4,Male,15-24,42434,1182,757020,763465,1672216.41
South,Kerala,Star Sports,Tennis,India Tennis Cup,May,1248079,53.5,Female,35-44,1189,2834,514654,733425,1781731.39
Central,Chhattisgarh,Sony Sports,Kabaddi,Pro Kabaddi League,Mar,641723,77.2,Male,15-24,12394,3656,221863,419860,905674.76
South,Kerala,Sony Sports,Kabaddi,Pro Kabaddi League,May,539492,16.4,Female,15-24,9792,2463,196834,342658,725580.23
West,Gujarat,ESPN India,Badminton,India Open,Jan,748361,25.3,Female,25-34,24483,1578,305793,442568,1058927.06
South,Kerala,Star Sports,Kabaddi,Pro Kabaddi League,Jan,853591,110.5,Female,15-24,27531,1685,417990,435601,1275080.09
East,West Bengal,Star Sports,Cricket,IPL,Jun,855889,36.8,Male,45+,41757,1600,318779,537110,1672729.73
East,Assam,Jio Sports,Kabaddi,Pro Kabaddi League,Sep,1039913,56.5,Male,15-24,34763,3442,379645,660268,657993.25
East,Odisha,DD Sports,Football,ISL,Jun,832038,115.9,Male,15-24,25276,437,286013,546025,1089585.54
South,Kerala,Jio Sports,Badminton,Asia Championships,Feb,1447527,44.5,Female,25-34,9571,592,568841,878686,1029750.93
South,Karnataka,Sony Sports,Hockey,Hockey India League,Dec,1936222,16.6,Male,15-24,3568,2127,872113,1064109,1820498.39
South,Karnataka,Jio Sports,Football,Santosh Trophy,May,1802126,89.2,Female,35-44,14986,4614,460194,1341932,2985952.52
West,Rajasthan,Jio Sports,Football,ISL,Dec,1399380,83.4,Male,45+,23662,300,310816,1088564,2008036.4
South,Andhra Pradesh,Sony Sports,Kabaddi,Pro Kabaddi League,Feb,1474289,53.9,Male,35-44,12837,904,694946,779343,2350620.04
North,Delhi,Sony Sports,Kabaddi,Pro Kabaddi League,Mar,1555127,73.9,Male,25-34,33482,2790,649396,905731,2552239.56
South,Andhra Pradesh,Sony Sports,Kabaddi,Pro Kabaddi League,May,1089577,41.9,Female,45+,1206,1584,467652,621925,874471.4
North,Haryana,Star Sports,Tennis,India Tennis Cup,May,1148591,48.0,Male,15-24,46151,1857,355003,793588,814347.78
Central,Chhattisgarh,Sony Sports,Cricket,IPL,Jun,1825846,94.3,Female,35-44,34827,1822,688135,1137711,2815778.44
West,Gujarat,DD Sports,Cricket,Ranji Trophy,Mar,465515,99.9,Male,25-34,45020,2793,102922,362593,551543.04
Central,Madhya Pradesh,Star Sports,Kabaddi,Pro Kabaddi League,Apr,817595,108.7,Male,25-34,22834,1763,363036,454559,1399036.05
West,Goa,ESPN India,Kabaddi,Pro Kabaddi League,Jan,458923,110.2,Female,35-44,31080,1406,180408,278515,523475.88
East,West Bengal,Sony Sports,Tennis,Chennai Open,Oct,667075,47.0,Male,15-24,22959,4844,262981,404094,818664.43
East,West Bengal,Star Sports,Cricket,Ranji Trophy,Jul,278576,50.4,Female,35-44,35766,3545,129271,149305,230701.69
North,Uttar Pradesh,Sony Sports,Badminton,India Open,Jan,1691704,21.8,Female,45+,40353,4759,640901,1050803,1472313.83
East,Bihar,Star Sports,Cricket,Ranji Trophy,Jan,115318,46.6,Male,45+,21080,3099,40457,74861,64039.59
West,Rajasthan,DD Sports,Badminton,India Open,Jul,863168,58.2,Male,25-34,1854,3574,178690,684478,1312928.74
